symptom_text,specialty,urgency,cleaned_text
"Відчуваю, що око сильно сльозиться і пече, лопнули капіляри",ophthalmologist,medium,відчуваю що око сильно сльозиться і пече лопнули капіляри
"У мого родича ангіна, білий наліт на мигдаликах, важко ковтати",otolaryngologist,medium,у мого родича ангіна білий наліт на мигдаликах важко ковтати
"Температура 38.5, кашель і озноб",therapist,medium,температура 38 5 кашель і озноб
"Підкажіть, що робити, якщо гострий ріжучий біль в правому боці живота, нудота",surgeon,high,підкажіть що робити якщо гострий ріжучий біль в правому боці живота нудота
"Вже кілька днів червона висипка на тілі, яка сильно чешеться",dermatologist,medium,вже кілька днів червона висипка на тілі яка сильно чешеться
"Скажіть, будь ласка, чому сильно набряк палець, пульсує і виділяється гній",surgeon,medium,скажіть будь ласка чому сильно набряк палець пульсує і виділяється гній
"Допоможіть, скаче пульс після кави або чаю",cardiologist,low,допоможіть скаче пульс після кави або чаю
"Допоможіть, важкість у шлунку та постійне здуття живота",gastroenterologist,low,допоможіть важкість у шлунку та постійне здуття живота
"Допоможіть, печія після жирної їжі, легка гіркота в роті",gastroenterologist,low,допоможіть печія після жирної їжі легка гіркота в роті
"У мене у немовляти температура 39, не збивається нурофеном",pediatrician,high,у мене у немовляти температура 39 не збивається нурофеном
"Вже кілька днів нудота після їжі, кисла відрижка вже кілька днів",gastroenterologist,medium,вже кілька днів нудота після їжі кисла відрижка вже кілька днів
"Вже кілька днів сильно набряк палець, пульсує і виділяється гній",surgeon,medium,вже кілька днів сильно набряк палець пульсує і виділяється гній
"Сильно турбує те, що різі при сечовипусканні, тягне внизу живота",urologist,medium,сильно турбує те що різі при сечовипусканні тягне внизу живота
"У мене око сильно сльозиться і пече, лопнули капіляри",ophthalmologist,medium,у мене око сильно сльозиться і пече лопнули капіляри
Раптово почалося: болить плече або м'язи після тренування в залі,traumatologist,low,раптово почалося болить плече або м язи після тренування в залі
"У мого родича фурункул запалився, набряк, гарячий на дотик",dermatologist,high,у мого родича фурункул запалився набряк гарячий на дотик
"Відчуваю, що незначні перепади тиску вечорами",cardiologist,low,відчуваю що незначні перепади тиску вечорами
У мене постійний шум у вухах і темніє в очах,neurologist,medium,у мене постійний шум у вухах і темніє в очах
"У мого родича коліки в животі, метеоризм, ріже навколо пупка",gastroenterologist,medium,у мого родича коліки в животі метеоризм ріже навколо пупка
"У мене невелика гуля на спині, жировик під шкірою",surgeon,low,у мене невелика гуля на спині жировик під шкірою
"Підкажіть, що робити, якщо кривава блювота або чорний стілець, гострий спазм",gastroenterologist,high,підкажіть що робити якщо кривава блювота або чорний стілець гострий спазм
"Сильно турбує те, що температура піднялася до 40, сильно знобить",therapist,high,сильно турбує те що температура піднялася до 40 сильно знобить
"У мого родича температура 38.5, кашель і озноб",therapist,medium,у мого родича температура 38 5 кашель і озноб
"Раптово почалося: часті походи в туалет, але без болю",urologist,low,раптово почалося часті походи в туалет але без болю
"Вже кілька днів сильна носова кровотеча, яка йде вже півгодини",otolaryngologist,high,вже кілька днів сильна носова кровотеча яка йде вже півгодини
"Сильно турбує те, що нестерпний біль у шлунку, сильне отруєння та діарея",gastroenterologist,high,сильно турбує те що нестерпний біль у шлунку сильне отруєння та діарея
"Підкажіть, що робити, якщо періодичний ниючий біль у ділянці попереку",urologist,low,підкажіть що робити якщо періодичний ниючий біль у ділянці попереку
"Раптово почалося: відкритий перелом, рука крива, сильний біль і шок",traumatologist,high,раптово почалося відкритий перелом рука крива сильний біль і шок
"У мого родича часті перепади настрою, збільшилася щитовидна залоза",endocrinologist,medium,у мого родича часті перепади настрою збільшилася щитовидна залоза
"Підкажіть, що робити, якщо періодично закладає одне вухо після басейну",otolaryngologist,low,підкажіть що робити якщо періодично закладає одне вухо після басейну
"Скажіть, будь ласка, чому водянисті пухирі на ногах після алергії",dermatologist,medium,скажіть будь ласка чому водянисті пухирі на ногах після алергії
"У мене підозра на пупкову грижу, випинання болить",surgeon,medium,у мене підозра на пупкову грижу випинання болить
"Допоможіть, дитина задихається від гавкаючого кашлю, синіють губи",pediatrician,high,допоможіть дитина задихається від гавкаючого кашлю синіють губи
"Допоможіть, болить плече або м'язи після тренування в залі",traumatologist,low,допоможіть болить плече або м язи після тренування в залі
"Підкажіть, що робити, якщо стара родимка змінила форму та потемніла",dermatologist,medium,підкажіть що робити якщо стара родимка змінила форму та потемніла
"У мого родича очі почервоніли, закисають зранку, виділяється гній",ophthalmologist,medium,у мого родича очі почервоніли закисають зранку виділяється гній
"Запалився лімфовузол під пахвою, боляче торкатися",surgeon,medium,запалився лімфовузол під пахвою боляче торкатися
"Підкажіть, що робити, якщо сильне серцебиття, тремтять руки, постійно жарко",endocrinologist,medium,підкажіть що робити якщо сильне серцебиття тремтять руки постійно жарко
"Скажіть, будь ласка, чому фурункул запалився, набряк, гарячий на дотик",dermatologist,high,скажіть будь ласка чому фурункул запалився набряк гарячий на дотик
"Сухий кашель, важко вдихнути повітря, хрипи в легенях",therapist,high,сухий кашель важко вдихнути повітря хрипи в легенях
У мого родича ниючий біль у шиї після роботи за комп'ютером,neurologist,low,у мого родича ниючий біль у шиї після роботи за комп ютером
"У мене сильний набряк повіки, вискочив великий ячмінь",ophthalmologist,medium,у мене сильний набряк повіки вискочив великий ячмінь
"У мого родича часті походи в туалет, але без болю",urologist,low,у мого родича часті походи в туалет але без болю
"Прискорене серцебиття, пульс 110 в стані спокою",cardiologist,medium,прискорене серцебиття пульс 110 в стані спокою
"Відчуваю, що підвернув ногу, є невеликий набряк, але ходити можу",traumatologist,medium,відчуваю що підвернув ногу є невеликий набряк але ходити можу
"Відчуваю, що відняло ліву ногу, сильне оніміння половини тіла",neurologist,high,відчуваю що відняло ліву ногу сильне оніміння половини тіла
"У мого родича сильно набряк палець, пульсує і виділяється гній",surgeon,medium,у мого родича сильно набряк палець пульсує і виділяється гній
"Сильно турбує те, що помітив кров у сечі, сильний біль у ділянці паху",urologist,high,сильно турбує те що помітив кров у сечі сильний біль у ділянці паху
"У мого родича у дитини кашель, соплі, але температури немає",pediatrician,medium,у мого родича у дитини кашель соплі але температури немає
"Підкажіть, що робити, якщо пропав нюх через хронічний нежить",otolaryngologist,low,підкажіть що робити якщо пропав нюх через хронічний нежить
"Сильно турбує те, що постійна втома, немає сил зранку",therapist,low,сильно турбує те що постійна втома немає сил зранку
"Підкажіть, що робити, якщо печія після жирної їжі, легка гіркота в роті",gastroenterologist,low,підкажіть що робити якщо печія після жирної їжі легка гіркота в роті
"Допоможіть, сильне серцебиття, тремтять руки, постійно жарко",endocrinologist,medium,допоможіть сильне серцебиття тремтять руки постійно жарко
Вже кілька днів швидко втомлюються очі під час роботи за монітором,ophthalmologist,low,вже кілька днів швидко втомлюються очі під час роботи за монітором
"Допоможіть, температура піднялася до 40, сильно знобить",therapist,high,допоможіть температура піднялася до 40 сильно знобить
Легке запаморочення при різкому підйомі,neurologist,low,легке запаморочення при різкому підйомі
У мого родича стара родимка змінила форму та потемніла,dermatologist,medium,у мого родича стара родимка змінила форму та потемніла
"Допоможіть, часті перепади настрою, збільшилася щитовидна залоза",endocrinologist,medium,допоможіть часті перепади настрою збільшилася щитовидна залоза
"У мене очі почервоніли, закисають зранку, виділяється гній",ophthalmologist,medium,у мене очі почервоніли закисають зранку виділяється гній
"Раптово зник зір на одному оці, гострий біль всередині",ophthalmologist,high,раптово зник зір на одному оці гострий біль всередині
"Вже кілька днів дитина задихається від гавкаючого кашлю, синіють губи",pediatrician,high,вже кілька днів дитина задихається від гавкаючого кашлю синіють губи
"Болить шлунок натщесерце, ниючий біль під ребрами",gastroenterologist,medium,болить шлунок натщесерце ниючий біль під ребрами
У мене швидко втомлюються очі під час роботи за монітором,ophthalmologist,low,у мене швидко втомлюються очі під час роботи за монітором
"Підкажіть, що робити, якщо підвернув ногу, є невеликий набряк, але ходити можу",traumatologist,medium,підкажіть що робити якщо підвернув ногу є невеликий набряк але ходити можу
"Підкажіть, що робити, якщо тисне серце, біль віддає в ліву руку та щелепу",cardiologist,high,підкажіть що робити якщо тисне серце біль віддає в ліву руку та щелепу
Раптово почалося: сухість рук та тріщини на пальцях,dermatologist,low,раптово почалося сухість рук та тріщини на пальцях
"Різко почало випадати волосся, нігті ламаються",endocrinologist,low,різко почало випадати волосся нігті ламаються
"Відчуваю, що важкість у шлунку та постійне здуття живота",gastroenterologist,low,відчуваю що важкість у шлунку та постійне здуття живота
"Відчуваю, що іноді покалює зліва в грудях під час ходьби",cardiologist,low,відчуваю що іноді покалює зліва в грудях під час ходьби
"Сильно турбує те, що стріляє у вусі, заклало ніс, болять пазухи",otolaryngologist,medium,сильно турбує те що стріляє у вусі заклало ніс болять пазухи
"Сильно турбує те, що відкритий перелом, рука крива, сильний біль і шок",traumatologist,high,сильно турбує те що відкритий перелом рука крива сильний біль і шок
"Підкажіть, що робити, якщо помітив кров у сечі, сильний біль у ділянці паху",urologist,high,підкажіть що робити якщо помітив кров у сечі сильний біль у ділянці паху
Раптово почалося: ниючий біль у шиї після роботи за комп'ютером,neurologist,low,раптово почалося ниючий біль у шиї після роботи за комп ютером
"Скажіть, будь ласка, чому відкритий перелом, рука крива, сильний біль і шок",traumatologist,high,скажіть будь ласка чому відкритий перелом рука крива сильний біль і шок
"Вже кілька днів сухий кашель, важко вдихнути повітря, хрипи в легенях",therapist,high,вже кілька днів сухий кашель важко вдихнути повітря хрипи в легенях
"Підкажіть, що робити, якщо водянисті пухирі на ногах після алергії",dermatologist,medium,підкажіть що робити якщо водянисті пухирі на ногах після алергії
"Раптово почалося: ломить суглоби, застудився під кондиціонером",therapist,medium,раптово почалося ломить суглоби застудився під кондиціонером
"У мене сильний удар ліктя, рука опухла і посиніла",traumatologist,medium,у мене сильний удар ліктя рука опухла і посиніла
"Вже кілька днів ангіна, білий наліт на мигдаликах, важко ковтати",otolaryngologist,medium,вже кілька днів ангіна білий наліт на мигдаликах важко ковтати
"Допоможіть, у немовляти температура 39, не збивається нурофеном",pediatrician,high,допоможіть у немовляти температура 39 не збивається нурофеном
"Раптово почалося: діабетична криза, втрата свідомості, різкий запах ацетону",endocrinologist,high,раптово почалося діабетична криза втрата свідомості різкий запах ацетону
"Сильно турбує те, що часті походи в туалет, але без болю",urologist,low,сильно турбує те що часті походи в туалет але без болю
"Вже кілька днів відняло ліву ногу, сильне оніміння половини тіла",neurologist,high,вже кілька днів відняло ліву ногу сильне оніміння половини тіла
"У мого родича ниючий біль у попереку, важко нахилятися",neurologist,medium,у мого родича ниючий біль у попереку важко нахилятися
"Відчуваю, що задишка при мінімальних фізичних навантаженнях",cardiologist,medium,відчуваю що задишка при мінімальних фізичних навантаженнях
"Допоможіть, впав, підозра на тріщину в ребрі, боляче дихати",traumatologist,medium,допоможіть впав підозра на тріщину в ребрі боляче дихати
"У мого родича біль у нирках, підвищилася температура до 38",urologist,medium,у мого родича біль у нирках підвищилася температура до 38
Вже кілька днів врослий ніготь на великому пальці ноги,surgeon,low,вже кілька днів врослий ніготь на великому пальці ноги
У мого родича задишка при мінімальних фізичних навантаженнях,cardiologist,medium,у мого родича задишка при мінімальних фізичних навантаженнях
